Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
Neumann EA 170-MT,5,0,5,1345.5,0,5,5,0,0,NoTurnover
Behringer P16-I (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
CTP Systems DMix30  DEMO,1,0,1,0,0,1,1,0,0,NoTurnover
Behringer P16-D B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Neumann EA 2,9,0,9,2073.6,0,9,9,0,0,NoTurnover
Neumann EA 2 mt,2,0,2,460.8,0,2,2,0,0,NoTurnover
Neumann EA 2124-A,1,3,4,720,0,4,2.5,0,0,NoTurnover
Neumann EA 4,42,14,56,6048,0,56,49,0,0,NoTurnover
Neumann DIM 1,1,0,1,503.1,0,1,1,0,0,NoTurnover
Neumann EA 87,4,0,4,1116,0,4,4,0,0,NoTurnover
Neumann EA 87-MT,2,1,3,1116,0,3,2.5,0,0,NoTurnover
Neumann EA 170,5,0,5,1345.5,0,5,5,0,0,NoTurnover
Moseley SL9003Q-2S STL,1,0,1,0,0,1,1,0,0,NoTurnover
Neumann BCM 705,1,0,1,478.8,0,1,1,0,0,NoTurnover
Middle Atlantic MA-EB1MP,1,0,1,218.1,0,1,1,0,0,NoTurnover
Audio-Technica BP40 (FBA),13,57,70,11870.25,0,70,41.5,0,0,NoTurnover
Midas Consoles L6  b-stock,1,0,1,157.49,0,1,1,0,0,NoTurnover
Midas Consoles M32 LIVE,1,0,1,2750,0,1,1,0,0,NoTurnover
Audio-Technica ATW-1311/L,4,0,4,2376.6,0,4,4,0,0,NoTurnover
Midas Consoles M32C,1,0,1,550,0,1,1,0,0,NoTurnover
Midas MICROPHONE PREAMPLIFIER 502 V2 (B-Stock),2,0,2,0,0,2,2,0,0,NoTurnover
Middle Atlantic DR-8 Rental,2,0,2,0,0,2,2,0,0,NoTurnover
Middle Atlantic MA-CASTERS-K,1,0,1,0,0,1,1,0,0,NoTurnover
Audio-Technica ATW-1101/L (FBA),6,0,6,0,0,6,6,0,0,NoTurnover
Audio-Technica ATW-1101/L (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Audio-Technica ATM510PK,5,0,5,675.75,0,5,5,0,0,NoTurnover
Middle Atlantic MA-EB4 USED,15,0,15,0,0,15,15,0,0,NoTurnover
Neumann BCM 104,2,0,2,1557,0,2,2,0,0,NoTurnover
Middle Atlantic MA-SB1 USED,11,0,11,0,0,11,11,0,0,NoTurnover
Behringer PMP550M (FBA),3,0,3,0,0,3,3,0,0,NoTurnover
Middle Atlantic MA-VSA-1626,4,0,4,375.45,0,4,4,0,0,NoTurnover
Misc. Cable,2,0,2,182.68,0,2,2,0,0,NoTurnover
Neumann EA1-MT,2,0,2,397.8,0,2,2,0,0,NoTurnover
Moseley SL9003QHP-2SLAN,1,0,1,3300,0,1,1,0,0,NoTurnover
MultiCAM Systems Demo Kit,4,0,4,7120,0,4,4,0,0,NoTurnover
Myat 201-064,2,0,2,594,0,2,2,0,0,NoTurnover
Myat 301-042-5,2,0,2,360,0,2,2,0,0,NoTurnover
Myat 301-138-5,1,0,1,0,0,1,1,0,0,NoTurnover
NTUSB & TH-05 Headphone,1,0,1,141.45,0,1,1,0,0,NoTurnover
Neumann EA 89A,1,0,1,279,0,1,1,0,0,NoTurnover
Behringer MONITOR1,12,2,14,629.85,0,14,13,0,0,NoTurnover
Behringer NEUTRON,1,0,1,209.99,0,1,1,0,0,NoTurnover
Behringer DEEPMIND 12D,3,0,3,1259.97,0,3,3,0,0,NoTurnover
Neumann TLM 102 STUDIO SET (B-Stock),1,1,2,538.65,0,2,1.5,0,0,NoTurnover
Behringer FBQ800 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Neumann TLM 103-MT-Set,4,8,12,14948.1,0,12,8,0,0,NoTurnover
Neumann TLM 49 SET,5,0,5,7128,0,5,5,0,0,NoTurnover
Behringer FBQ800,26,0,26,1700.73,0,26,26,0,0,NoTurnover
Behringer FBQ2496,3,2,5,1322.93,0,5,4,0,0,NoTurnover
Behringer EP2000,7,0,7,2463.92,0,7,7,0,0,NoTurnover
Behringer DI4000V2,1,0,1,97.99,0,1,1,0,0,NoTurnover
Behringer DEEPMIND 6  b-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Neumann WS 87,12,0,12,432,0,12,12,0,0,NoTurnover
Behringer DEEPMIND 12,4,0,4,2321.2,0,4,4,0,0,NoTurnover
Behringer MONITOR2USB,3,0,3,335.97,0,3,3,0,0,NoTurnover
Behringer DCX2496,2,0,2,558.6,0,2,2,0,0,NoTurnover
Behringer CX3400 V2,2,0,2,278.6,0,2,2,0,0,NoTurnover
Neutrik NC3FD-L-BAG-1,26,0,26,75.9,0,26,26,0,0,NoTurnover
Behringer CRAVE,1,0,1,174.99,0,1,1,0,0,NoTurnover
Behringer CMD Studio 4A (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Behringer CMD Studio 4A,7,0,7,1259.95,0,7,7,0,0,NoTurnover
Nicom BKG77 Replacement Body N,1,0,1,0,0,1,1,0,0,NoTurnover
Nicom NT30,1,0,1,-799,0,1,1,0,0,NoTurnover
Nicom NT30 Drive-In Pkg,3,0,3,0,0,3,3,0,0,NoTurnover
Nicom STL SYSTEM - USED,1,0,1,1100,0,1,1,0,0,NoTurnover
Neumann TLM 102 STUDIO SET,7,1,8,6583.5,0,8,7.5,0,0,NoTurnover
Behringer K-2,1,0,1,272.3,0,1,1,0,0,NoTurnover
Neumann TLM 102 BK STUDIO SET,3,0,3,1795.5,0,3,3,0,0,NoTurnover
Behringer MDX4600 V2,6,0,6,919.8,0,6,6,0,0,NoTurnover
Neumann KH 120 A G US,8,0,8,4075.2,0,8,8,0,0,NoTurnover
Audio-Technica ATM510,6,0,6,351.9,0,6,6,0,0,NoTurnover
BW BROADCAST TX150V3 Demo,3,2,5,4591.02,0,5,4,0,0,NoTurnover
Audio-Technica ATH-R70X,4,0,4,831.28,0,4,4,0,0,NoTurnover
Audio-Technica ATH-PG1,24,0,24,2256.25,0,24,24,0,0,NoTurnover
Neumann KH 120 A G US (FBA),4,7,11,3565.8,0,11,7.5,0,0,NoTurnover
Audio-Technica BPHS1 (B-Stock),5,3,8,380.55,0,8,6.5,0,0,NoTurnover
Neumann KH 750,1,0,1,1188,0,1,1,0,0,NoTurnover
Audio-Technica ATH-MSR7bBK,12,0,12,2091,0,12,12,0,0,NoTurnover
Behringer MIC500USB,22,0,22,2141.66,0,22,22,0,0,NoTurnover
Neumann KH 80 DSP A G US,8,0,8,2872.8,0,8,8,0,0,NoTurnover
BW Broadcast CAS-RF-RG316-BNCBHF-MBNC,20,0,20,272,0,20,20,0,0,NoTurnover
BW Broadcast CAS-RF-RG316-NBHF-MCXRM-110,2,0,2,0,0,2,2,0,0,NoTurnover
Neumann KM 184 MT,1,6,7,4025.7,0,7,4,0,0,NoTurnover
Audio-Technica ATH-M50xPB (B-Stock),4,0,4,101.58,0,4,4,0,0,NoTurnover
Neumann M 147-TUBE-SET-US,1,0,1,1998,0,1,1,0,0,NoTurnover
Neumann NDH 20 (FBA),11,0,11,0,0,11,11,0,0,NoTurnover
Neumann NDH 20 b-stock,1,2,3,581.74,0,3,2,0,0,NoTurnover
Neumann TLM 102,10,0,10,5603.4,0,10,10,0,0,NoTurnover
Neumann TLM 102 BK,9,4,13,7131.6,0,13,11,0,0,NoTurnover
BW Broadcast DSPmpX Encore,1,0,1,1197,0,1,1,0,0,NoTurnover
Midas Consoles L10,6,0,6,1259.94,0,6,6,0,0,NoTurnover
Audio-Technica PRO37,3,0,3,301.68,0,3,3,0,0,NoTurnover
Midas Consoles DP48,6,0,6,1679.94,0,6,6,0,0,NoTurnover
MXL MXL-V87,6,0,6,780,0,6,6,0,0,NoTurnover
MXL MXL-990 BLIZZARD,3,0,3,210,0,3,3,0,0,NoTurnover
MXL MXL-A-55 KICKER,21,0,21,1102.5,0,21,21,0,0,NoTurnover
Behringer UMC 404HD (FBA),7,-3,4,-375.9,0,4,5.5,0,0,NoTurnover
MXL MXL-CR21 PAIR,12,0,12,780,0,12,12,0,0,NoTurnover
MXL MXL-CR89,4,0,4,672,0,4,4,0,0,NoTurnover
MXL MXL-MIC MATE,20,0,20,870,0,20,20,0,0,NoTurnover
MXL MXL-MIC MATE PRO,12,3,15,1260,0,15,13.5,0,0,NoTurnover
MXL MXL-TEMPO SK,25,0,25,1250,0,25,25,0,0,NoTurnover
MXL MXL-V69 CABLE 1,14,5,19,665,0,19,16.5,0,0,NoTurnover
MXL MXL-V69 MEDT,43,-31,12,2644.8,0,12,27.5,0,0,NoTurnover
Behringer UMC 404HD,6,0,6,2380.7,0,6,6,0,0,NoTurnover
MXL MXL-770X,20,0,20,2600,0,20,20,0,0,NoTurnover
Behringer U-PHORIA STUDIO,21,-1,20,1616.79,0,20,20.5,0,0,NoTurnover
Mackie 1604VLZ Bag,3,0,3,124.83,0,3,3,0,0,NoTurnover
Mackie 9MACHR824,1,0,1,0,0,1,1,0,0,NoTurnover
Mackie Big Knob Studio (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Mackie Big Knob Studio+ (FBA),3,0,3,0,0,3,3,0,0,NoTurnover
Mackie CR-BUDS+,3,0,3,83.22,0,3,3,0,0,NoTurnover
Mackie CR4-X (Pair),3,0,3,312.09,0,3,3,0,0,NoTurnover
Mackie CR4-XBT (Pair),3,0,3,353.73,0,3,3,0,0,NoTurnover
Mackie CR5-XBT (Pair),4,0,4,762.95,0,4,4,0,0,NoTurnover
Mackie Creator Bundle (FBA),12,0,12,0,0,12,12,0,0,NoTurnover
MXL MXL-990,3,12,15,1050,0,15,9,0,0,NoTurnover
MXL MXL-603 PAIR,2,0,2,230,0,2,2,0,0,NoTurnover
Mackie DL1608,1,0,1,485.51,0,1,1,0,0,NoTurnover
Lewitt MTP-INTERVIEWER B-Stock,1,0,1,100.5,0,1,1,0,0,NoTurnover
Lewitt MTP-350-CM (B-Stock),2,0,2,149.78,0,2,2,0,0,NoTurnover
Lewitt MTP-440-DM,6,0,6,358.26,0,6,6,0,0,NoTurnover
Lewitt MTP-550-DM,22,-16,6,430.62,0,6,14,0,0,NoTurnover
Lewitt MTP-550-DM B-Stock,3,0,3,179.43,0,3,3,0,0,NoTurnover
Lewitt MTP-550-DM-S,2,10,12,1220.09,0,12,7,0,0,NoTurnover
Lewitt MTP-550-DM-S (B-Stock),2,0,2,119.62,0,2,2,0,0,NoTurnover
Lewitt MTP-740-CM (B-Stock),1,0,1,250.79,0,1,1,0,0,NoTurnover
Lewitt MTP-840-DM B-Stock,1,0,1,135.2,0,1,1,0,0,NoTurnover
Lewitt MTP-940-CM (B-Stock),4,0,4,1204.16,0,4,4,0,0,NoTurnover
Lewitt MTP-INTERVIEWER,10,0,10,1206,0,10,10,0,0,NoTurnover
Lewitt S10,3,0,3,328.65,0,3,3,0,0,NoTurnover
MXL MXL-550/551R,2,0,2,150,0,2,2,0,0,NoTurnover
Lewitt S10 (B-Stock),2,0,2,182.58,0,2,2,0,0,NoTurnover
Lewitt S6,3,0,3,328.65,0,3,3,0,0,NoTurnover
Lewitt S6 (B-Stock),1,0,1,91.29,0,1,1,0,0,NoTurnover
Loaner Item,0,5,5,0,5,0,0,0,,
MCI 61103,1,0,1,0,0,1,1,0,0,NoTurnover
MCi (a Mega Industries Company) 61104,1,0,1,0,0,1,1,0,0,NoTurnover
MDOUK Audio TX STL-IP (B-Stock),4,-2,2,-3100,0,2,3,0,0,NoTurnover
MPM-1000 (FBA),36,0,36,1344,0,36,36,0,0,NoTurnover
MXL MXL-2003A,45,-30,15,2340,0,15,30,0,0,NoTurnover
MXL MXL-2006,3,0,3,216,0,3,3,0,0,NoTurnover
Behringer TA 312S,3,0,3,242.76,0,3,3,0,0,NoTurnover
Mackie EM-USB,12,0,12,1248.36,0,12,12,0,0,NoTurnover
Midas Consoles DM16,1,0,1,300.99,0,1,1,0,0,NoTurnover
Marshall Electronics CVM-11,1,0,1,45,0,1,1,0,0,NoTurnover
Marantz PMD-100CD,3,0,3,435,0,3,3,0,0,NoTurnover
Marantz PMD-300CP,3,1,4,550,0,4,3.5,0,0,NoTurnover
Marantz PMD-661 MKIII,3,2,5,1470,0,5,4,0,0,NoTurnover
Marantz PMD-661 MKIII (B-Stock),1,1,2,0,0,2,1.5,0,0,NoTurnover
Marantz Umpire,10,3,13,560,0,13,11.5,0,0,NoTurnover
Mark P9A48GN-U - USED,1,0,1,110,0,1,1,0,0,NoTurnover
Marshall Electronics CV344,6,0,6,1800,0,6,6,0,0,NoTurnover
Marshall Electronics CV346,6,2,8,3200,0,8,7,0,0,NoTurnover
Marshall Electronics CV503,6,12,18,5310,0,18,12,0,0,NoTurnover
Behringer Q502USB,32,1,33,1847.67,0,33,32.5,0,0,NoTurnover
MasterLock 5441ENT,400,0,400,51692,0,400,400,0,0,NoTurnover
Marantz Audio Scope SG-5B,3,0,3,120,0,3,3,0,0,NoTurnover
Nord AMS-NDRUM3P,34,8,42,31296,0,42,38,0,0,NoTurnover
Midas Consoles COMPRESSOR LIMITER 522 (B-Stock),3,0,3,0,0,3,3,0,0,NoTurnover
Audio-Technica PRO-DRUM7 (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Midas Consoles DL155,1,0,1,1210,0,1,1,0,0,NoTurnover
Audio-Technica BPHS2S,13,0,13,2541.5,0,13,13,0,0,NoTurnover
Midas Consoles DL16,1,0,1,770,0,1,1,0,0,NoTurnover
Audio-Technica BPHS2,20,1,21,5636.4,0,21,20.5,0,0,NoTurnover
Midas Consoles DL32,2,0,2,3300,0,2,2,0,0,NoTurnover
Audio-Technica BPHS1 (FBA),29,1,30,-1304.38,0,30,29.5,0,0,NoTurnover
Behringer PODCASTUDIO 2 USB,10,0,10,699.9,0,10,10,0,0,NoTurnover
Marantz MPM-1000,20,1,21,1484,0,21,20.5,0,0,NoTurnover
Marantz AVS,13,0,13,1785,0,13,13,0,0,NoTurnover
Behringer SX3040 V2,18,0,18,2183.76,0,18,18,0,0,NoTurnover
Mackie MDB-USB,4,0,4,471.64,0,4,4,0,0,NoTurnover
Behringer SU9920,15,0,15,1910.79,0,15,15,0,0,NoTurnover
Mackie HM-4,12,0,12,332.88,0,12,12,0,0,NoTurnover
Mackie HM-400,12,3,15,1901.96,0,15,13.5,0,0,NoTurnover
Mackie HM-800,3,0,3,499.38,0,3,3,0,0,NoTurnover
Mackie HR624MK2 (Pair),1,0,1,0,0,1,1,0,0,NoTurnover
Mackie MC-250 (FBA),4,4,8,277.4,0,8,6,0,0,NoTurnover
Mackie MC-350,3,0,3,416.13,0,3,3,0,0,NoTurnover
Behringer SRC2496 B-Stock,1,0,1,0,0,1,1,0,0,NoTurnover
Mackie MC-450 (FBA),1,2,3,416.14,0,3,2,0,0,NoTurnover
Mackie MDB-2P,6,0,6,291.3,0,6,6,0,0,NoTurnover
Mackie MP-120 BTA,3,0,3,312.09,0,3,3,0,0,NoTurnover
Manfrotto 244N,2,0,2,0,0,2,2,0,0,NoTurnover
Mackie Mix12FX,2,0,2,180.32,0,2,2,0,0,NoTurnover
Mackie Onyx Artist 1-2,4,0,4,360.64,0,4,4,0,0,NoTurnover
Mackie Onyx Artist 1-2 (FBA),16,0,16,0,0,16,16,0,0,NoTurnover
Mackie Onyx Producer 2-2,3,0,3,499.36,0,3,3,0,0,NoTurnover
Mackie Onyx Producer 2-2 (FBA),9,-1,8,-124.84,0,8,8.5,0,0,NoTurnover
Mackie ProFX12v3,1,4,5,1400.2,0,5,3,0,0,NoTurnover
Mackie ProFX16v3,4,0,4,1427.96,0,4,4,0,0,NoTurnover
Mackie ProFX6v3,4,1,5,520.15,0,5,4.5,0,0,NoTurnover
Mackie ProFX6v3 (FBA),4,0,4,-104.03,0,4,4,0,0,NoTurnover
Mackie SP260,1,0,1,416.15,0,1,1,0,0,NoTurnover
Audio-Technica ATH-M50xPB,118,1,119,13002.24,0,119,118.5,0,0,NoTurnover
Novation Bass Station II (FBA),2,5,7,1567.45,0,7,4.5,0,0,NoTurnover
Nord AMS-NDRUM3P (B-Stock),1,1,2,432,0,2,1.5,0,0,NoTurnover
Presonus StudioLive 32R,1,2,3,3375,0,3,2,0,0,NoTurnover
Presonus PX-1 (FBA),30,130,160,10920,0,160,95,0,0,NoTurnover
Presonus Quantum 2 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Audio-Technica ATH-M50xBB  B-stock,2,0,2,182.84,0,2,2,0,0,NoTurnover
Presonus Quantum 2626,2,0,2,840,0,2,2,0,0,NoTurnover
Presonus Quantum 4848,1,0,1,1050,0,1,1,0,0,NoTurnover
Presonus R65,2,0,2,462,0,2,2,0,0,NoTurnover
Audio-Technica ATH-M50x (B-stock),3,4,7,321.28,0,7,5,0,0,NoTurnover
Presonus Sceptre S6,2,0,2,664,0,2,2,0,0,NoTurnover
Presonus Studio 1810c,9,0,9,4123,0,9,9,0,0,NoTurnover
Audio-Technica ATH-M40X (B-Stock),7,7,14,425.36,0,14,10.5,0,0,NoTurnover
Presonus Studio 1810c (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
BW Broadcast TX1000 V3 Loaner,1,0,1,0,0,1,1,0,0,NoTurnover
Presonus Studio 1810c (FBA),6,0,6,0,0,6,6,0,0,NoTurnover
BW Broadcast TX1000 V1 loaner,1,0,1,0,0,1,1,0,0,NoTurnover
Presonus Studio 1824c,3,0,3,1014,0,3,3,0,0,NoTurnover
Presonus Studio 24c,12,0,12,1352,0,12,12,0,0,NoTurnover
Presonus Studio 26c,1,0,1,10466,0,1,1,0,0,NoTurnover
Presonus Studio 26c (FBA),52,0,52,0,0,52,52,0,0,NoTurnover
Presonus Studio 68c,12,0,12,2704,0,12,12,0,0,NoTurnover
Presonus Studio 68c (FBA),3,0,3,0,0,3,3,0,0,NoTurnover
Presonus Studio 68c B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Presonus Studio Channel,12,10,22,4991,0,22,17,0,0,NoTurnover
Presonus StudioLive 24R (FBA),2,1,3,0,0,3,2.5,0,0,NoTurnover
Presonus PX-1,140,-130,10,12600,0,10,75,0,0,NoTurnover
Presonus PM-2 (FBA),30,-6,24,-504,0,24,27,0,0,NoTurnover
Presonus PM-2,36,0,36,3024,0,36,36,0,0,NoTurnover
BW Broadcast TX50 V3 Demo,2,1,3,1752.81,0,3,2.5,0,0,NoTurnover
Presonus AudioBox iOne B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Presonus AudioBox iTwo (FBA),130,-1,129,-112,0,129,129.5,0,0,NoTurnover
Presonus AudioBox iTwo Studio (FBA),24,71,95,17290,0,95,59.5,0,0,NoTurnover
Presonus Central Station Plus,1,6,7,3262,0,7,4,0,0,NoTurnover
Presonus Central Station Plus (FBA),2,0,2,0,0,2,2,0,0,NoTurnover
Presonus DM-7,15,-10,5,970,0,5,10,0,0,NoTurnover
Presonus EarMix 16M,4,0,4,1204,0,4,4,0,0,NoTurnover
Barix AG 2008.9089,2,0,2,76.7,0,2,2,0,0,NoTurnover
Presonus Eris E3.5 BT,42,1,43,4268,0,43,42.5,0,0,NoTurnover
BW Broadcast TX50v2 Demo,2,0,2,0,0,2,2,0,0,NoTurnover
Presonus Eris E4.5 BT (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Presonus PD-70,115,50,165,17430,0,165,140,0,0,NoTurnover
Presonus Eris E4.5 Demo,2,0,2,216,0,2,2,0,0,NoTurnover
Presonus Eris E5 XT (B-Stock),1,1,2,-81,0,2,1.5,0,0,NoTurnover
Presonus Eris E8 XT,12,6,18,2808,0,18,15,0,0,NoTurnover
Presonus Eris HD10BT,12,0,12,1092,0,12,12,0,0,NoTurnover
Presonus Eris Sub 8,10,2,12,5066,0,12,11,0,0,NoTurnover
Presonus FaderPort (FBA),24,8,32,1232,0,32,28,0,0,NoTurnover
Presonus FaderPort 8 (FBA),1,0,1,0,0,1,1,0,0,NoTurnover
Presonus HD7,12,0,12,348,0,12,12,0,0,NoTurnover
Presonus HD9,18,0,18,756,0,18,18,0,0,NoTurnover
Presonus HP4 (FBA),10,36,46,3384,0,46,28,0,0,NoTurnover
BW Broadcast TR600V3 Translator,2,0,2,7500,0,2,2,0,0,NoTurnover
Presonus StudioLive AR8c,1,0,1,349,0,1,1,0,0,NoTurnover
Presonus AudioBox USB 96 - 25th Anniversary Edition (FBA),150,0,150,11175,0,150,150,0,0,NoTurnover
Presonus StudioLive AR8c (FBA),5,0,5,0,0,5,5,0,0,NoTurnover
RFS 158EIA-HCA158-019KT,2,0,2,1239,0,2,2,0,0,NoTurnover
BW Broadcast SUB-PCB-AIO-T-V3,2,0,2,928,0,2,2,0,0,NoTurnover
Audio-Technica ATH-M20X-EDU,100,0,100,2900,0,100,100,0,0,NoTurnover
Audio-Technica AT8484 (B-Stock),1,1,2,111.44,0,2,1.5,0,0,NoTurnover
RFS 318EIA-HCA300-019KT,4,0,4,3137.88,0,4,4,0,0,NoTurnover
RFS 7M7MS12-030FFP,11,1,12,352.17,0,12,11.5,0,0,NoTurnover
RFS BA6110-2,1,0,1,0,0,1,1,0,0,NoTurnover
RFS CLAMP-400 USED,20,0,20,0,0,20,20,0,0,NoTurnover
RFS NF-LCF158-D01K,2,0,2,0,0,2,2,0,0,NoTurnover
Audio-Technica AT8484,38,0,38,2639.25,0,38,38,0,0,NoTurnover
RFS NM-LCF158-D01K,2,0,2,0,0,2,2,0,0,NoTurnover
RFS NMNFL12-100 Jumper,1,0,1,0,0,1,1,0,0,NoTurnover
RFS NMNMS12-500FFP,4,0,4,1223.4,0,4,4,0,0,NoTurnover
Audio-Technica AT8449A/SV,3,0,3,181.05,0,3,3,0,0,NoTurnover
BW Broadcast SUB-PCB-1KW-OPCOMB-V,1,0,1,254,0,1,1,0,0,NoTurnover
RODE Blimp,8,3,11,1956,0,11,9.5,0,0,NoTurnover
BW Broadcast SUB-PA-TX50-V2-R1,1,0,1,324,0,1,1,0,0,NoTurnover
RODE Boompole  b-stock,2,0,2,207.9,0,2,2,0,0,NoTurnover
BW Broadcast SPARE-PSU-4000W48V,1,5,6,5401,0,6,3.5,0,0,NoTurnover
RODE Boompole Pro,2,3,5,815,0,5,3.5,0,0,NoTurnover
BW Broadcast SPARE-PSU-2400W48V,16,5,21,7480,0,21,18.5,0,0,NoTurnover
RODE Broadcaster,3,0,3,945,0,3,3,0,0,NoTurnover
RODE Complete Studio Kit,82,142,224,63250,0,224,153,0,0,NoTurnover
RF Industries RFT-1234-11,1,0,1,5.55,0,1,1,0,0,NoTurnover
RF Industries RFN-1037-1,10,0,10,43.4,0,10,10,0,0,NoTurnover
Audio-Technica ATH-M30x (B-Stock),2,4,6,189.35,0,6,4,0,0,NoTurnover
BW Broadcast MRF173 RF Mosfet,1,0,1,318.4,0,1,1,0,0,NoTurnover
Presonus TubePre V2,96,-43,53,11400,0,53,74.5,0,0,NoTurnover
Presonus ioStation 24c,12,0,12,2508,0,12,12,0,0,NoTurnover
Presonus ioStation 24c (FBA),24,-2,22,-418,0,22,23,0,0,NoTurnover
Primacoustic 2900-0105-XX,1,0,1,149.99,0,1,1,0,0,NoTurnover
RE320 (FBA),62,-55,7,-10008.9,0,7,34.5,0,0,NoTurnover
RE320POP,24,0,24,1792,0,24,24,0,0,NoTurnover
RELOOP CONCORDE-BLACK,2,0,2,207.8,0,2,2,0,0,NoTurnover
RELOOP CONCORDE-VIBE,4,1,5,623.46,0,5,4.5,0,0,NoTurnover
RELOOP CONCORDE-VIBE (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
BW Broadcast TR300V2 B-Stock,1,1,2,0,0,2,1.5,0,0,NoTurnover
RELOOP ELITE,1,0,1,978.74,0,1,1,0,0,NoTurnover
RF Industries RFN-1012-1,15,0,15,191.36,0,15,15,0,0,NoTurnover
BW Broadcast SUB-PCB-UNIFIED-TX-PS,1,0,1,43.85,0,1,1,0,0,NoTurnover
RELOOP MIXTOUR,3,0,3,489.36,0,3,3,0,0,NoTurnover
BW Broadcast SUB-PCB-UNIFIED-TX-PA-OUTPUT,1,0,1,300,0,1,1,0,0,NoTurnover
BW Broadcast SUB-PCB-TX600-OPCOMB-V2-R1,1,0,1,308.8,0,1,1,0,0,NoTurnover
Audio-Technica ATH-M40Fs Headphones USED,3,0,3,0,0,3,3,0,0,NoTurnover
RELOOP NEON,13,1,14,1558.72,0,14,13.5,0,0,NoTurnover
RELOOP RP-8000-MK2,5,-3,2,2527.5,0,2,3.5,0,0,NoTurnover
BW Broadcast SUB-PCB-ENC-FMTUNER-PCIX-V1.1,6,0,6,323.4,0,6,6,0,0,NoTurnover
BW Broadcast SUB-PCB-ALLONE-T-V2,12,0,12,1480,0,12,12,0,0,NoTurnover
RELOOP SHP8,4,0,4,311.72,0,4,4,0,0,NoTurnover
Presonus AudioBox iOne (FBA),75,39,114,3003,0,114,94.5,0,0,NoTurnover
Presonus AudioBox USB 96 - 25th Anniversary Edition,49,0,49,3750,0,49,49,0,0,NoTurnover
Nord AMS-NELECTRO6D-73,2,2,4,8475.98,0,4,3,0,0,NoTurnover
OC White 51900-2B,4,0,4,0,0,4,4,0,0,NoTurnover
Novation Launchkey 49,18,0,18,2553.57,0,18,18,0,0,NoTurnover
Novation Launchkey 49 [MK3],6,6,12,2037.62,0,12,9,0,0,NoTurnover
Novation Launchkey 49 [MK3] (B-Stock),1,3,4,470.22,0,4,2.5,0,0,NoTurnover
Novation Launchkey 49 [MK3] (FBA),73,141,214,22254.92,0,214,143.5,0,0,NoTurnover
Behringer ADA 8200 B-Stock,1,1,2,408.6,0,2,1.5,0,0,NoTurnover
Novation Launchkey 61,8,0,8,1310.92,0,8,8,0,0,NoTurnover
Novation Launchkey 61 [MK3],18,8,26,5186.72,0,26,22,0,0,NoTurnover
Novation Launchkey 61 [MK3] (FBA),43,70,113,20716.02,0,113,78,0,0,NoTurnover
Novation Launchkey 61 [MK3] b-stock,1,1,2,185.24,0,2,1.5,0,0,NoTurnover
Novation Launchkey Mini MKII,2,0,2,0,0,2,2,0,0,NoTurnover
Novation Launchkey Mini [MK3],248,25,273,33205.92,0,273,260.5,0,0,NoTurnover
Novation Launchkey Mini [MK3] (B-Stock),11,0,11,71.24,0,11,11,0,0,NoTurnover
Novation Launchpad,13,1,14,1917.95,0,14,13.5,0,0,NoTurnover
Novation Launchpad Pro,8,0,8,2024.91,0,8,8,0,0,NoTurnover
Novation Launchpad Pro MK2 b-stock,1,0,1,213.74,0,1,1,0,0,NoTurnover
Novation Launchpad X,8,12,20,614.99,0,20,14,0,0,NoTurnover
Novation Launchpad X (FBA),30,10,40,1424.9,0,40,35,0,0,NoTurnover
Novation MiniNova,20,0,20,9354.43,0,20,20,0,0,NoTurnover
Behringer ADA 8200,14,1,15,3558.1,0,15,14.5,0,0,NoTurnover
Novation MiniNova (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Behringer 1002B,6,0,6,734.93,0,6,6,0,0,NoTurnover
Novation MiniNova USED,1,0,1,0,0,1,1,0,0,NoTurnover
Novation Peak,1,0,1,997.49,0,1,1,0,0,NoTurnover
Novation Launchkey 37 [MK3] (FBA),91,41,132,5129.6,0,132,111.5,0,0,NoTurnover
Novation Launchkey 37 [MK3] (B-Stock),1,0,1,128.24,0,1,1,0,0,NoTurnover
Novation Launchkey 37 [MK3],10,5,15,2180.08,0,15,12.5,0,0,NoTurnover
Behringer UMC1820,4,0,4,921.2,0,4,4,0,0,NoTurnover
Nord AMS-NPIANO-MONITOR-V2,23,8,31,19780.36,0,31,27,0,0,NoTurnover
Behringer CAT,1,0,1,209.99,0,1,1,0,0,NoTurnover
